"component","origin","license","copyright"
"github.com/hashicorp/go-cleanhttp","github.com/hashicorp/go-cleanhttp","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/go-version","github.com/hashicorp/go-version","['MPL-2.0']","['HashiCorp, Inc.']"
"golang.org/x/text","golang.org/x/text","[]","[]"
"github.com/golang/snappy","github.com/golang/snappy","['BSD-3-Clause']","['The Snappy-Go Authors']"
"github.com/google/uuid","github.com/google/uuid","['BSD-3-Clause']","['Google Inc.']"
"golang.org/x/net","golang.org/x/net","[]","[]"
"github.com/davecgh/go-spew","github.com/davecgh/go-spew","['ISC']","['Dave Collins']"
"github.com/gogo/protobuf","github.com/gogo/protobuf","['BSD-3-Clause']","['The GoGo Authors', 'The Go Authors']"
"github.com/jmespath/go-jmespath","github.com/jmespath/go-jmespath","['Apache-2.0']","['James Saryerwinnie', 'Mat Ryer and Tyler Bunnell']"
"github.com/spf13/pflag","github.com/spf13/pflag","['BSD-3-Clause']","['The Go Authors', 'Alex Ogier']"
"gopkg.in/yaml.v2","gopkg.in/yaml.v2","[]","[]"
"gopkg.in/yaml.v3","gopkg.in/yaml.v3","[]","[]"
"github.com/go-logr/logr","github.com/go-logr/logr","['Apache-2.0']","['go-logr']"
"github.com/json-iterator/go","github.com/json-iterator/go","['MIT']","['json-iterator']"
"github.com/modern-go/concurrent","github.com/modern-go/concurrent","['Apache-2.0']","['modern-go']"
"github.com/modern-go/reflect2","github.com/modern-go/reflect2","['Apache-2.0']","['modern-go']"
"google.golang.org/appengine","google.golang.org/appengine","[]","[]"
"github.com/golang-jwt/jwt","github.com/golang-jwt/jwt","['MIT']","['golang-jwt', 'Dave Grijalva']"
"github.com/kylelemons/godebug","github.com/kylelemons/godebug","['Apache-2.0']","['kylelemons']"
"github.com/moby/spdystream","github.com/moby/spdystream","['Apache-2.0']","['Docker Inc.']"
"gopkg.in/inf.v0","gopkg.in/inf.v0","[]","[]"
"github.com/golang/protobuf","github.com/golang/protobuf","['BSD-3-Clause']","['The Go Authors']"
"google.golang.org/protobuf","google.golang.org/protobuf","[]","[]"
"sigs.k8s.io/structured-merge-diff/v4","sigs.k8s.io/structured-merge-diff/v4","[]","[]"
"sigs.k8s.io/json","sigs.k8s.io/json","[]","[]"
"github.com/google/gofuzz","github.com/google/gofuzz","['Apache-2.0']","['google']"
"golang.org/x/time","golang.org/x/time","[]","[]"
"github.com/pkg/browser","github.com/pkg/browser","['BSD-2-Clause']","['Dave Cheney']"
"github.com/imdario/mergo","github.com/imdario/mergo","['BSD-3-Clause']","['Dario Castane', 'The Go Authors']"
"sigs.k8s.io/yaml","sigs.k8s.io/yaml","[]","[]"
"github.com/google/go-cmp","github.com/google/go-cmp","['BSD-3-Clause']","['The Go Authors']"
"k8s.io/apimachinery","k8s.io/apimachinery","[]","[]"
"k8s.io/utils","k8s.io/utils","[]","[]"
"k8s.io/kube-openapi","k8s.io/kube-openapi","[]","[]"
"github.com/zclconf/go-cty","github.com/zclconf/go-cty","['MIT']","['Martin Atkins']"
"k8s.io/klog/v2","k8s.io/klog/v2","[]","[]"
"github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/compute/armcompute","github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/compute/armcompute","['MIT']","['Microsoft Corporation']"
"github.com/hashicorp/hc-install","github.com/hashicorp/hc-install","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/terraform-exec","github.com/hashicorp/terraform-exec","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/hashicorp/terraform-json","github.com/hashicorp/terraform-json","['MPL-2.0']","['HashiCorp, Inc.']"
"github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armresources","github.com/Azure/azure-sdk-for-go/sdk/resourcemanager/resources/armresources","['MIT']","['Microsoft Corporation']"
"k8s.io/client-go","k8s.io/client-go","[]","[]"
"github.com/Azure/azure-sdk-for-go/sdk/azidentity","github.com/Azure/azure-sdk-for-go/sdk/azidentity","['MIT']","['Microsoft Corporation']"
"github.com/AzureAD/microsoft-authentication-library-for-go","github.com/AzureAD/microsoft-authentication-library-for-go","['MIT']","['Microsoft Corporation']"
"github.com/Azure/azure-sdk-for-go/sdk/internal","github.com/Azure/azure-sdk-for-go/sdk/internal","['MIT']","['Microsoft Corporation']"
"k8s.io/api","k8s.io/api","[]","[]"
